85,EDG,Edgeless,8.627E-5,$1.43542,"$6,607,260"
86,MTL,Metal,0.0003587,$5.96466,"$19,068,300"
87,BLOCK,Blocknet,0.00137212,$22.8297,"$298,558"
88,GXS,GXShares,0.00016655,$2.76946,"$7,794,460"
89,STORJ,Storj,6.205E-5,$1.03181,"$11,385,600"
90,DRGN,Dragonchain,2.731E-5,$0.454106,"$752,855"
91,ETP,Metaverse ETP,0.00017628,$2.93135,"$13,678,700"
92,PPC,Peercoin,0.00024287,$4.04095,"$4,865,290"
93,PPP,PayPie,7.1E-5,$1.18069,"$1,052,210"
94,BQX,Ethos,7.675E-5,$1.27633,"$4,454,100"
95,DATA,Streamr DATAcoin,8.47E-6,$0.140862,"$5,394,130"
96,LINK,ChainLink,1.601E-5,$0.266264,"$10,925,300"
97,R,Revain,3.027E-5,$0.503407,"$672,261"
98,ANT,Aragon,0.0001698,$2.82347,"$2,182,770"
99,ZEN,ZenCash,0.00192325,$31.9812,"$2,079,560"
100,BAY,BitBay,5.17E-6,$0.0860034,"$4,348,430"
101,SNGLS,SingularDTV,8.68E-6,$0.144464,"$5,080,430"
102,FTC,Feathercoin,2.607E-5,$0.433805,"$1,006,030"
103,MNX,MinexCoin,0.00158819,$26.4096,"$231,970"
104,SKY,Skycoin,0.00075193,$12.5108,"$150,541"
105,GRS,Groestlcoin,6.8E-5,$1.1314,"$3,771,480"
106,COB,Cobinhood,1.768E-5,$0.29402,"$312,072"
107,LKK,Lykke,1.774E-5,$0.295177,"$244,961"
108,ACT,Achain,1.55E-5,$0.257746,"$1,382,900"
109,ADX,AdEx,7.558E-5,$1.25673,"$9,905,540"
110,POT,PotCoin,2.037E-5,$0.338933,"$4,912,460"
111,UBQ,Ubiq,0.00011496,$1.91281,"$1,259,170"
112,SUB,Substratum,1.96E-5,$0.325984,"$4,946,840"
113,PART,Particl,0.00055725,$9.2664,"$1,690,250"
114,XAS,Asch,4.732E-5,$0.787364,"$3,158,200"
115,MGO,MobileGo,4.363E-5,$0.725501,"$771,474"
116,JINN,Jinn,0.0723884,$1204.42,"$1,204"
117,RCN,Ripio Credit Network,8.75E-6,$0.145539,"$15,331,100"
118,ATM,ATMChain,1.1E-6,$0.018304,"$49,628"
119,XCP,Counterparty,0.00157841,$26.262,"$1,341,370"
120,LRC,Loopring,1.365E-5,$0.226937,"$6,155,140"
121,RLC,iExec RLC,4.892E-5,$0.81342,"$6,877,330"
